word1	word2	pos	label	score	fold
fungus	kindness	N	no-rel	0.15	train
carpet	rug	N	syn	3.27	train
mushroom	fungus	N	hyp-3	5.33	train
hell	inferno	N	syn	3.17	train
happening	linen	N	no-rel	0.09	train
focus	attention	N	hyp-2	4.91	train
orchid	flower	N	hyp-1	5.92	train
pancake	waffle	N	cohyp	1.69	train
microscope	telescope	N	cohyp	1.70	train
noun	verb	N	cohyp	0.00	train
balance	account	N	mero	2.08	train
motion	action	N	hyp-2	4.64	train
caption	technique	N	no-rel	1.00	train
earnestness	sincerity	N	syn	4.14	train
puff	wind	N	hyp-2	2.73	train
unit	group	N	hyp-3	4.15	train
gander	biology	N	no-rel	0.58	train
nine	number	N	hyp-3	5.45	train
quotient	amount	N	hyp-3	4.42	train
walrus	mammal	N	hyp-4	5.90	train
rifle	pistol	N	cohyp	2.23	train
grace	goodness	N	hyp-2	3.55	train
shrub	plant	N	hyp-3	5.54	train
oven	appliance	N	hyp-3	5.90	train
wall	room	N	mero	0.50	train
hand	arm	N	mero	0.09	train
girl	boy	N	ant	0.10	train
existence	being	N	syn	4.69	train
wing	bat	N	mero	0.23	train
boyfriend	lover	N	hyp-1	5.38	train
jury	court	N	mero	1.80	train
leg	knee	N	cohyp	1.23	train
chain	bicycle	N	mero	0.71	train
nicotine	tobacco	N	mero	2.00	train
mother	woman	N	hyp-2	4.93	train
stream	oxygen	N	no-rel	0.46	train
louse	bug	N	cohyp	4.80	train
sunday	weekend	N	mero	3.20	train
bristle	brush	N	mero	2.31	train
worker	farmer	N	r-hyp-3	1.30	train
bulletin	news	N	hyp-2	4.31	train
bridge	cross	N	cohyp	0.77	train
doll	toy	N	hyp-1	5.93	train
beef	cattle	N	hyp-1	4.00	train
architecture	structure	N	hyp-2	3.50	train
treatment	medication	N	r-hyp-3	2.17	train
ceremony	graduation	N	r-hyp-2	1.80	train
enemy	friend	N	ant	0.93	train
alto	voice	N	hyp-2	4.90	train
celery	food	N	hyp-3	5.58	train
house	structure	N	hyp-2	4.82	train
perception	vision	N	r-hyp-2	3.75	train
king	leader	N	hyp-3	5.20	train
elevator	building	N	mero	0.62	train
computer	machine	N	hyp-1	5.90	train
reflection	thought	N	hyp-2	5.80	train
seal	mammal	N	hyp-4	5.15	train
princess	fortune	N	no-rel	1.15	train
belief	superstition	N	r-hyp-1	2.38	train
light	aura	N	r-hyp-1	2.67	train
grit	courage	N	hyp-2	4.08	train
activity	hobby	N	r-hyp-3	4.10	train
prank	joke	N	syn	4.77	train
girl	person	N	hyp-3	5.91	train
compass	instrument	N	hyp-2	4.58	train
paddle	oar	N	hyp-1	3.15	train
chime	bell	N	syn	3.10	train
hope	despair	N	ant	0.17	train
hatchet	tool	N	hyp-4	5.20	train
procedure	tear	N	no-rel	0.08	train
vehicle	car	N	r-hyp-4	0.92	train
brook	stream	N	hyp-1	3.42	train
food	sausage	N	r-hyp-2	1.15	train
monkey	animal	N	hyp-4	6.00	train
lizard	creature	N	hyp-4	5.83	train
shame	disgrace	N	syn	4.33	train
integrity	worker	N	no-rel	0.80	train
submarine	ship	N	hyp-3	3.54	train
jug	jar	N	cohyp	2.40	train
kingdom	territory	N	hyp-3	5.56	train
crayon	marker	N	cohyp	3.43	train
prism	shape	N	hyp-3	4.50	train
anarchy	disorder	N	hyp-1	4.15	train
duck	animal	N	hyp-4	5.92	train
rose	plant	N	hyp-4	5.85	train
charm	appeal	N	syn	5.33	train
chest	body	N	mero	1.18	train
organization	foundation	N	r-hyp-3	2.54	train
mammal	cat	N	r-hyp-4	0.69	train
dirt	grime	N	syn	4.62	train
vet	veteran	N	syn	2.14	train
peach	fruit	N	hyp-2	6.00	train
newspaper	medium	N	hyp-3	4.08	train
crowd	group	N	hyp-3	5.14	train
beverage	beer	N	r-hyp-3	0.40	train
tree	forest	N	mero	0.50	train
theft	crime	N	hyp-2	5.92	train
worker	waitress	N	r-hyp-4	1.00	train
myth	mythology	N	mero	3.45	train
cavity	rat	N	no-rel	0.31	train
noon	day	N	mero	2.55	train
senate	congress	N	mero	2.62	train
island	land	N	hyp-1	5.43	train
street	way	N	hyp-3	3.29	train
trunk	oasis	N	no-rel	0.21	train
rung	ladder	N	mero	1.46	train
knowledge	foresight	N	r-hyp-4	2.60	train
torch	light	N	hyp-1	4.75	train
lobby	silk	N	no-rel	0.60	train
diameter	length	N	hyp-1	4.00	train
doe	animal	N	hyp-4	5.62	train
bet	wager	N	syn	4.25	train
portrait	picture	N	hyp-1	5.90	train
expert	professional	N	r-hyp-2	3.62	train
writing	poem	N	r-hyp-2	1.36	train
adjective	verb	N	cohyp	0.55	train
pig	hog	N	syn	3.40	train
kettle	teapot	N	cohyp	2.55	train
pint	amount	N	hyp-4	5.60	train
champagne	wine	N	hyp-2	4.40	train
palace	home	N	hyp-3	5.50	train
vow	pledge	N	hyp-1	4.92	train
statement	thesis	N	r-hyp-4	3.15	train
nightgown	underwear	N	hyp-2	2.79	train
empire	state	N	cohyp	2.50	train
necklace	bracelet	N	cohyp	0.57	train
material	leather	N	r-hyp-4	1.64	train
material	nylon	N	r-hyp-3	0.85	train
refrigerator	appliance	N	hyp-3	6.00	train
metal	society	N	no-rel	0.10	train
manufacturer	creator	N	hyp-2	5.17	train
animal	elephant	N	r-hyp-4	1.00	train
louse	flea	N	cohyp	2.77	train
water	fluid	N	hyp-2	6.00	train
trance	state	N	hyp-3	5.46	train
balcony	porch	N	cohyp	3.40	train
husband	snake	N	no-rel	0.33	train
silver	gold	N	cohyp	0.67	train
war	conflict	N	hyp-1	5.09	train
nitrogen	hydrogen	N	cohyp	0.20	train
employment	work	N	syn	4.85	train
sight	perception	N	hyp-2	4.85	train
guest	person	N	hyp-3	4.33	train
hammer	tool	N	hyp-2	6.00	train
curve	road	N	mero	1.46	train
seal	kite	N	no-rel	0.08	train
professor	professional	N	hyp-3	5.15	train
limb	extremity	N	hyp-1	4.38	train
tusk	duty	N	no-rel	0.08	train
building	cathedral	N	r-hyp-3	0.38	train
creek	brook	N	syn	2.67	train
seafood	fish	N	cohyp	1.67	train
nightmare	dream	N	hyp-1	5.75	train
sympathy	feeling	N	hyp-1	6.00	train
colonel	officer	N	hyp-3	5.15	train
hat	cap	N	cohyp	4.00	train
attendance	appearance	N	r-hyp-1	3.22	train
prince	captain	N	no-rel	0.89	train
restaurant	diner	N	r-hyp-1	1.85	train
flour	wedding	N	no-rel	0.15	train
cotton	polyester	N	cohyp	1.31	train
princess	royalty	N	mero	5.38	train
ewe	sheep	N	hyp-1	4.58	train
child	daughter	N	r-hyp-2	1.67	train
mayonnaise	food	N	hyp-4	5.54	train
scalpel	instrument	N	hyp-4	4.55	train
rape	crime	N	hyp-3	5.90	train
week	year	N	cohyp	0.62	train
knowledge	instinct	N	r-hyp-3	2.00	train
gorilla	ape	N	hyp-3	5.27	train
dawn	sunset	N	ant	0.54	train
climax	story	N	mero	1.54	train
mate	partner	N	syn	4.91	train
leg	chair	N	mero	0.45	train
fad	trend	N	hyp-2	4.80	train
pike	fish	N	hyp-4	5.23	train
digger	miner	N	cohyp	3.92	train
safety	insurance	N	r-hyp-3	2.73	train
plot	plan	N	hyp-3	4.78	train
gull	bird	N	hyp-4	5.43	train
view	perception	N	hyp-2	4.64	train
feeling	anxiety	N	r-hyp-2	1.20	train
asia	africa	N	cohyp	0.42	train
homework	assignment	N	hyp-2	5.20	train
noun	word	N	hyp-2	5.64	train
pitcher	catcher	N	cohyp	1.20	train
suggestion	hint	N	r-hyp-1	4.22	train
shield	armor	N	hyp-1	5.40	train
custard	building	N	no-rel	0.00	train
gauge	measure	N	hyp-3	3.69	train
book	encyclopedia	N	r-hyp-2	1.33	train
soil	shower	N	no-rel	0.20	train
rain	shower	N	r-hyp-1	3.44	train
back	body	N	mero	2.08	train
lip	tongue	N	cohyp	0.40	train
father	mother	N	ant	0.77	train
letter	symbol	N	hyp-3	5.33	train
owl	animal	N	hyp-4	6.00	train
horse	mammal	N	hyp-4	6.00	train
spoon	fork	N	cohyp	0.83	train
morning	night	N	cohyp	0.50	train
caravan	group	N	hyp-3	3.00	train
bourbon	alcohol	N	hyp-3	5.69	train
tissue	meal	N	no-rel	0.40	train
butterfly	insect	N	hyp-2	5.46	train
author	writer	N	syn	5.00	train
snake	serpent	N	syn	5.31	train
commander	leader	N	hyp-1	5.23	train
hypothesis	idea	N	hyp-2	5.08	train
saw	tool	N	hyp-2	5.92	train
chip	computer	N	mero	1.60	train
hurricane	tornado	N	cohyp	2.17	train
radio	medium	N	hyp-3	3.54	train
leg	thigh	N	cohyp	0.69	train
poison	venom	N	r-hyp-3	2.75	train
spinach	vegetable	N	hyp-1	6.00	train
blade	mower	N	mero	1.38	train
alligator	reptile	N	hyp-3	5.62	train
stove	floor	N	no-rel	0.23	train
quiz	test	N	hyp-1	5.23	train
ozone	atmosphere	N	cohyp	4.46	train
technician	worker	N	hyp-2	5.29	train
absence	presence	N	ant	2.38	train
life	existence	N	hyp-1	5.18	train
avenue	street	N	hyp-1	4.08	train
exercise	activity	N	hyp-4	5.64	train
stump	tree	N	mero	2.73	train
limousine	car	N	hyp-1	5.93	train
cougar	cat	N	hyp-2	5.38	train
vault	bank	N	mero	2.67	train
penguin	bird	N	hyp-4	5.85	train
earth	matter	N	hyp-3	4.23	train
film	sun	N	no-rel	0.31	train
mile	inch	N	cohyp	0.54	train
crab	animal	N	hyp-4	4.36	train
dandruff	flake	N	hyp-2	4.67	train
fig	date	N	cohyp	2.50	train
adjective	word	N	hyp-3	5.77	train
scalpel	tool	N	hyp-4	5.75	train
group	party	N	r-hyp-3	1.67	train
hurricane	storm	N	hyp-3	5.64	train
wife	husband	N	ant	0.77	train
trunk	elephant	N	mero	0.77	train
oxygen	gas	N	hyp-1	5.69	train
drawer	chest	N	mero	1.30	train
ball	game	N	hyp-4	3.15	train
gander	bird	N	hyp-4	4.00	train
walkway	sidewalk	N	r-hyp-1	5.08	train
brother	sister	N	ant	0.91	train
turkey	bird	N	hyp-3	5.83	train
easter	holiday	N	hyp-3	5.85	train
remedy	cause	N	hyp-4	0.62	train
ability	strength	N	r-hyp-2	3.23	train
kangaroo	animal	N	hyp-4	6.00	train
thesaurus	book	N	hyp-3	5.46	train
capacity	limit	N	cohyp	4.77	train
tenor	singer	N	hyp-1	5.45	train
point	score	N	mero	5.00	train
airplane	cannon	N	no-rel	0.46	train
saxophone	treatment	N	no-rel	0.09	train
sport	recreation	N	hyp-1	5.60	train
freeway	road	N	hyp-2	5.55	train
head	tail	N	ant	0.18	train
chest	trunk	N	mero	3.45	train
basketball	sport	N	hyp-3	6.00	train
knife	sword	N	cohyp	3.10	train
liberty	freedom	N	hyp-1	4.09	train
snake	reptile	N	hyp-2	5.55	train
sum	total	N	syn	4.92	train
land	region	N	hyp-1	2.71	train
atmosphere	killer	N	no-rel	1.08	train
agreement	disagreement	N	ant	1.18	train
suede	material	N	hyp-4	5.70	train
analysis	study	N	hyp-4	4.20	train
boat	ship	N	cohyp	4.20	train
tree	wood	N	mero	3.36	train
weed	plant	N	hyp-2	5.54	train
backpack	purse	N	cohyp	1.54	train
bouillon	broth	N	hyp-1	4.27	train
symptom	pain	N	r-hyp-1	1.27	train
mansion	home	N	hyp-2	5.42	train
granite	stone	N	hyp-3	5.90	train
corpse	body	N	hyp-1	4.38	train
canary	feather	N	no-rel	0.42	train
student	pupil	N	syn	5.55	train
peace	truce	N	r-hyp-1	3.83	train
jewelry	earring	N	r-hyp-1	1.31	train
spade	card	N	hyp-2	4.33	train
peanut	nut	N	hyp-2	5.73	train
cut	injury	N	hyp-2	4.80	train
grape	extremity	N	no-rel	0.36	train
unemployment	employment	N	ant	0.46	train
feast	gathering	N	hyp-4	4.40	train
robber	outlaw	N	hyp-2	5.18	train
fleet	navy	N	mero	2.42	train
appliance	dishwasher	N	r-hyp-3	0.90	train
pile	haystack	N	r-hyp-2	1.36	train
story	writing	N	hyp-3	5.00	train
tenor	bass	N	cohyp	1.67	train
tool	shovel	N	r-hyp-2	1.54	train
bath	tub	N	syn	3.38	train
vocabulary	language	N	mero	1.58	train
week	month	N	mero	0.62	train
gallon	measure	N	hyp-4	5.82	train
treasure	possession	N	hyp-4	4.46	train
task	job	N	syn	3.69	train
spouse	marriage	N	mero	1.38	train
dungeon	castle	N	mero	1.43	train
language	communication	N	hyp-1	5.36	train
wheat	cereal	N	hyp-1	4.58	train
cigarette	cigar	N	cohyp	2.92	train
hockey	sentence	N	no-rel	0.71	train
bride	wedding	N	mero	0.80	train
ear	head	N	mero	0.00	train
foot	measure	N	hyp-4	5.08	train
answer	question	N	ant	0.82	train
herd	group	N	hyp-3	5.54	train
onion	garlic	N	cohyp	0.62	train
month	year	N	mero	1.31	train
mechanic	worker	N	hyp-3	5.73	train
castle	home	N	hyp-3	5.20	train
horse	stud	N	r-hyp-3	2.00	train
umbrella	protection	N	hyp-3	4.40	train
aardvark	animal	N	hyp-4	5.92	train
tunnel	passage	N	hyp-2	5.15	train
toaster	appliance	N	hyp-3	5.64	train
character	personality	N	mero	2.38	train
chest	breast	N	syn	2.75	train
egg	architecture	N	no-rel	0.33	train
prisoner	captive	N	syn	5.00	train
burglar	crook	N	hyp-2	5.50	train
elephant	mammal	N	hyp-3	5.83	train
example	instance	N	syn	2.42	train
miner	worker	N	hyp-4	5.46	train
pleasure	pain	N	ant	1.40	train
constitution	document	N	hyp-3	4.60	train
casket	coffin	N	syn	4.46	train
tomato	vegetable	N	hyp-2	1.58	train
professional	expert	N	hyp-2	3.82	train
worker	mason	N	r-hyp-3	1.77	train
whale	mammal	N	hyp-4	5.77	train
pint	measure	N	hyp-4	5.82	train
region	partner	N	no-rel	0.45	train
fig	food	N	hyp-3	5.00	train
sight	sense	N	hyp-2	5.93	train
section	part	N	hyp-2	3.08	train
lip	mouth	N	syn	1.85	train
cactus	plant	N	hyp-3	5.75	train
cat	mammal	N	hyp-4	5.10	train
crow	bird	N	hyp-4	6.00	train
component	element	N	syn	2.31	train
citizen	salesman	N	no-rel	1.15	train
keyboard	arm	N	no-rel	0.54	train
woman	heroine	N	r-hyp-1	1.75	train
racquetball	sport	N	hyp-3	5.42	train
wood	lumber	N	mero	2.15	train
plant	turnip	N	r-hyp-4	0.46	train
garlic	onion	N	cohyp	1.64	train
sister	relation	N	hyp-3	5.45	train
wisdom	knowledge	N	hyp-2	4.85	train
alligator	animal	N	hyp-4	5.85	train
era	time	N	hyp-2	5.31	train
banjo	guitar	N	cohyp	4.00	train
bug	creature	N	hyp-4	5.38	train
wealth	poverty	N	ant	0.43	train
lemon	tree	N	hyp-4	3.45	train
machine	spice	N	no-rel	0.27	train
meal	snack	N	r-hyp-1	1.69	train
van	vehicle	N	hyp-3	5.85	train
director	conductor	N	syn	4.70	train
goose	animal	N	hyp-4	5.85	train
number	eight	N	r-hyp-3	0.64	train
thumb	finger	N	hyp-1	4.77	train
mammal	dog	N	r-hyp-4	1.30	train
response	answer	N	syn	5.33	train
shelf	counter	N	mero	1.91	train
lane	road	N	cohyp	3.25	train
sandwich	food	N	hyp-4	6.00	train
statue	figure	N	hyp-3	4.30	train
paradise	heaven	N	syn	4.55	train
protection	helmet	N	r-hyp-4	1.50	train
chili	food	N	hyp-3	5.89	train
group	legion	N	r-hyp-4	2.00	train
twister	storm	N	hyp-3	4.54	train
geology	science	N	hyp-3	5.40	train
time	space	N	cohyp	1.60	train
pal	buddy	N	syn	5.00	train
feeling	ecstasy	N	r-hyp-3	1.20	train
competition	contest	N	syn	4.90	train
mousse	food	N	hyp-3	5.38	train
artist	creator	N	hyp-1	5.69	train
wave	motion	N	hyp-1	4.33	train
sickness	health	N	ant	2.46	train
reptile	animal	N	hyp-3	5.92	train
spike	shoe	N	mero	2.17	train
servant	slave	N	cohyp	3.00	train
chance	opportunity	N	syn	3.77	train
pocketbook	wallet	N	syn	3.17	train
worker	technician	N	r-hyp-2	3.10	train
south	north	N	cohyp	0.20	train
feeling	empathy	N	r-hyp-2	1.45	train
hail	rain	N	cohyp	3.91	train
machine	computer	N	r-hyp-1	1.46	train
work	homework	N	r-hyp-4	1.92	train
pork	meat	N	hyp-1	5.90	train
radish	vegetable	N	hyp-2	5.75	train
olive	food	N	hyp-4	5.75	train
figure	statue	N	r-hyp-3	2.91	train
graduation	ceremony	N	hyp-2	5.80	train
typewriter	machine	N	hyp-3	5.30	train
gravy	food	N	hyp-3	5.27	train
bicycle	vehicle	N	hyp-2	4.80	train
leg	extremity	N	hyp-2	3.36	train
truce	peace	N	hyp-1	4.80	train
tail	water	N	no-rel	0.31	train
wallet	briefcase	N	cohyp	1.00	train
mosquito	wisdom	N	no-rel	0.38	train
conclusion	beginning	N	ant	0.23	train
ruby	crystal	N	hyp-3	4.50	train
six	seven	N	cohyp	0.31	train
filth	dirt	N	syn	4.33	train
mixture	solution	N	r-hyp-1	4.42	train
wrinkle	skin	N	mero	1.64	train
cathedral	injury	N	no-rel	0.08	train
bat	animal	N	hyp-4	5.71	train
cup	container	N	hyp-1	5.15	train
sorority	organization	N	hyp-3	4.77	train
competence	capability	N	cohyp	3.40	train
weed	venom	N	no-rel	0.22	train
softball	football	N	cohyp	0.58	train
animal	container	N	no-rel	0.30	train
baseball	football	N	cohyp	0.40	train
witch	job	N	no-rel	2.11	train
journal	book	N	hyp-1	5.00	train
worker	carpenter	N	r-hyp-4	1.36	train
cashew	nut	N	hyp-2	4.80	train
picture	painting	N	syn	2.27	train
person	climber	N	r-hyp-3	1.80	train
package	box	N	cohyp	3.18	train
mist	cloud	N	hyp-3	3.38	train
ape	primate	N	hyp-1	5.83	train
competition	race	N	r-hyp-1	1.77	train
appliance	spine	N	no-rel	0.08	train
dolphin	fish	N	hyp-4	2.54	train
notion	constitution	N	no-rel	2.20	train
cloud	sky	N	mero	1.23	train
painting	art	N	hyp-2	5.75	train
canary	bird	N	hyp-4	6.00	train
heel	boot	N	mero	0.80	train
tablet	pill	N	syn	3.92	train
dishwasher	appliance	N	hyp-3	5.69	train
clue	evidence	N	hyp-1	4.77	train
fairytale	story	N	hyp-1	5.92	train
bog	marsh	N	cohyp	4.44	train
meal	supper	N	r-hyp-1	1.77	train
apex	point	N	hyp-2	4.67	train
anatomy	human	N	mero	1.83	train
copper	bronze	N	mero	1.00	train
vegetable	tomato	N	r-hyp-2	1.00	train
flower	bloom	N	syn	2.45	train
competition	calculator	N	no-rel	1.17	train
bathtub	bathroom	N	mero	1.23	train
contract	agreement	N	hyp-2	5.91	train
fiddle	instrument	N	hyp-3	5.70	train
gate	door	N	cohyp	3.92	train
youth	group	N	hyp-3	4.46	train
barracuda	fish	N	hyp-4	5.73	train
waitress	worker	N	hyp-4	5.92	train
lizard	animal	N	hyp-4	5.21	train
arm	extremity	N	hyp-2	4.36	train
penguin	animal	N	hyp-4	5.75	train
novice	beginner	N	syn	4.23	train
plate	spoon	N	cohyp	0.20	train
citizen	person	N	hyp-2	5.18	train
flea	insect	N	hyp-1	5.69	train
blueberry	berry	N	hyp-1	6.00	train
toy	doll	N	r-hyp-1	2.10	train
zucchini	food	N	hyp-4	5.91	train
turnip	plant	N	hyp-4	4.83	train
animal	lamb	N	r-hyp-3	0.93	train
restroom	alligator	N	no-rel	0.25	train
ointment	cure	N	hyp-1	3.69	train
site	location	N	hyp-4	4.31	train
pickle	food	N	hyp-4	5.27	train
sand	beach	N	mero	2.85	train
flute	instrument	N	hyp-3	6.00	train
pan	dish	N	cohyp	3.91	train
summit	peak	N	syn	5.75	train
scallop	food	N	hyp-3	5.89	train
fire	water	N	cohyp	0.20	train
fish	bass	N	r-hyp-4	0.50	train
bean	vegetable	N	hyp-2	4.29	train
antler	deer	N	mero	0.77	train
panther	cat	N	hyp-1	5.70	train
blue	color	N	hyp-2	5.90	train
beer	beverage	N	hyp-3	5.55	train
bruise	wound	N	cohyp	5.00	train
president	leader	N	hyp-4	5.42	train
ham	food	N	hyp-4	5.93	train
utensil	tool	N	cohyp	5.40	train
basketball	activity	N	hyp-4	6.00	train
lamp	table	N	cohyp	0.09	train
ruby	jewel	N	hyp-1	5.92	train
barley	food	N	hyp-3	5.80	train
dog	mammal	N	hyp-4	4.55	train
snack	food	N	hyp-3	4.67	train
rhyme	poem	N	mero	4.33	train
dove	bird	N	hyp-4	5.92	train
project	element	N	no-rel	0.08	train
sheep	herd	N	mero	1.67	train
leadership	layer	N	no-rel	0.27	train
colt	gun	N	hyp-4	4.46	train
schedule	plan	N	hyp-1	4.18	train
person	publisher	N	r-hyp-3	2.23	train
pollution	boat	N	no-rel	0.20	train
treatment	therapy	N	r-hyp-2	2.46	train
mouse	rodent	N	hyp-1	5.83	train
pun	humor	N	hyp-2	4.83	train
skunk	animal	N	hyp-4	6.00	train
butter	cream	N	cohyp	2.69	train
conference	group	N	hyp-4	4.08	train
screwdriver	tool	N	hyp-2	6.00	train
pumpkin	squash	N	hyp-1	3.45	train
aunt	planet	N	no-rel	0.08	train
fraud	deception	N	hyp-2	5.71	train
perfume	deodorant	N	cohyp	2.64	train
gun	rifle	N	r-hyp-2	2.27	train
news	information	N	hyp-1	5.46	train
glass	crystal	N	cohyp	2.83	train
silver	metal	N	hyp-2	5.83	train
deception	fraud	N	r-hyp-2	4.90	train
intestine	stomach	N	mero	1.23	train
aroma	scent	N	syn	4.30	train
father	son	N	cohyp	1.58	train
obstacle	impediment	N	hyp-1	5.00	train
gold	metal	N	hyp-2	5.83	train
strap	bra	N	mero	0.93	train
igloo	hut	N	hyp-1	4.77	train
lipstick	class	N	no-rel	0.21	train
trunk	car	N	mero	0.43	train
gravy	sauce	N	hyp-1	5.73	train
gene	chromosome	N	mero	2.46	train
nylon	material	N	hyp-3	5.85	train
lady	castle	N	no-rel	0.50	train
symbol	letter	N	r-hyp-3	1.54	train
magazine	book	N	cohyp	2.89	train
airplane	aircraft	N	hyp-2	5.75	train
porch	house	N	mero	1.08	train
tongue	throat	N	mero	0.27	train
medium	television	N	r-hyp-3	1.33	train
auto	vehicle	N	hyp-4	1.55	train
choir	group	N	hyp-3	5.23	train
mud	dirt	N	hyp-1	4.77	train
attorney	lawyer	N	syn	4.54	train
tomorrow	yesterday	N	cohyp	1.33	train
shadow	light	N	ant	1.69	train
priest	rabbi	N	cohyp	2.09	train
maid	girl	N	hyp-1	3.57	train
antidote	cure	N	hyp-1	5.46	train
act	drama	N	mero	3.62	train
flashlight	agency	N	no-rel	0.31	train
bassinet	cradle	N	cohyp	3.58	train
skillet	pan	N	hyp-1	5.70	train
kitchen	unit	N	hyp-4	1.77	train
wife	art	N	no-rel	0.23	train
ending	end	N	syn	3.30	train
oregano	food	N	hyp-4	3.58	train
note	message	N	hyp-3	5.40	train
comment	answer	N	cohyp	4.00	train
food	pie	N	r-hyp-3	0.92	train
bandanna	cloth	N	hyp-3	4.75	train
comma	punctuation	N	hyp-1	5.67	train
tool	screwdriver	N	r-hyp-2	1.08	train
cotton	wool	N	cohyp	2.40	train
conflict	war	N	r-hyp-1	3.67	train
calculus	math	N	hyp-2	6.00	train
silk	satin	N	cohyp	2.00	train
gangster	gang	N	mero	1.42	train
pony	horse	N	hyp-1	4.75	train
liver	organ	N	hyp-2	5.92	train
judgment	verdict	N	r-hyp-2	4.54	train
guilt	feeling	N	hyp-4	5.60	train
snake	animal	N	hyp-4	5.25	train
star	symbol	N	hyp-3	4.91	train
noun	adjective	N	cohyp	0.50	train
haze	fog	N	syn	4.70	train
storm	typhoon	N	r-hyp-3	2.00	train
poetry	prose	N	cohyp	3.64	train
nun	softball	N	no-rel	0.08	train
pluto	planet	N	hyp-2	5.00	train
tragedy	comedy	N	ant	0.45	train
idol	person	N	hyp-4	2.57	train
virtue	quality	N	hyp-2	5.17	train
orange	fruit	N	hyp-3	6.00	train
staff	group	N	hyp-3	3.77	train
symptom	disease	N	mero	0.85	train
magazine	publication	N	hyp-1	4.82	train
omelet	food	N	hyp-3	5.85	train
couch	sofa	N	syn	4.30	train
sibling	family	N	mero	4.77	train
nitrogen	element	N	hyp-1	5.75	train
lake	water	N	hyp-1	5.09	train
horn	instrument	N	hyp-3	5.15	train
violin	cello	N	cohyp	1.55	train
squash	food	N	hyp-3	5.67	train
mink	animal	N	hyp-4	5.50	train
sickness	illness	N	syn	4.15	train
phase	stage	N	syn	4.33	train
jet	plane	N	hyp-1	5.25	train
protein	meat	N	mero	1.18	train
migraine	pain	N	hyp-3	5.42	train
officer	police	N	mero	3.83	train
stethoscope	instrument	N	hyp-2	5.60	train
protein	egg	N	mero	0.46	train
cricket	game	N	hyp-4	5.00	train
pillow	padding	N	hyp-2	4.17	train
bass	fish	N	hyp-4	5.77	train
lime	fruit	N	hyp-3	5.82	train
price	worth	N	hyp-2	4.20	train
fraternity	club	N	hyp-1	5.46	train
sunset	sunrise	N	ant	0.31	train
conversation	communication	N	hyp-3	6.00	train
bone	tissue	N	hyp-3	1.23	train
forest	jungle	N	r-hyp-1	3.20	train
wing	skin	N	no-rel	0.60	train
bread	football	N	no-rel	0.08	train
bean	food	N	hyp-4	5.83	train
tree	plant	N	hyp-3	5.18	train
container	flask	N	r-hyp-3	1.10	train
ritual	custom	N	hyp-1	4.46	train
verdict	judgment	N	hyp-2	5.80	train
head	pin	N	mero	1.08	train
mushroom	food	N	hyp-3	5.44	train
bulletin	message	N	hyp-4	5.33	train
bucket	container	N	hyp-2	6.00	train
vault	chamber	N	hyp-2	5.15	train
agreement	bench	N	no-rel	0.15	train
label	sign	N	hyp-3	4.40	train
circumstance	situation	N	hyp-2	3.85	train
salmon	fish	N	hyp-2	6.00	train
absence	medicine	N	no-rel	0.38	train
chairperson	leader	N	hyp-2	4.83	train
communication	language	N	r-hyp-1	3.23	train
